Sonde serial number                          	N4620333
Balloon release date and time                	2020-11-09T03:21:03
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C     %    °C   °   m/s     K         °          °  g/kg       m      °
 107     5.0       680  946.7 14.3  89.6  12.6  61  15.6 289.1 25.010613 121.529399  9.68    1076    246
 108     4.6       684  946.1 14.3  89.4  12.6  61  15.6 289.1 25.010530 121.529262  9.67    1093    246
 109     5.7       690  945.5 14.3  89.6  12.6  61  15.6 289.1 25.010438 121.529125  9.68    1110    245
 110     5.5       695  944.9 14.3  89.9  12.6  61  15.6 289.1 25.010340 121.528992  9.70    1126    245
 111     6.0       701  944.3 14.2  90.0  12.6  61  15.5 289.1 25.010242 121.528860  9.69    1143    245
 112     5.0       706  943.8 14.2  89.9  12.5  61  15.5 289.0 25.010152 121.528729  9.66    1159    245
 113     5.3       712  943.2 14.1  89.8  12.5  61  15.5 289.0 25.010074 121.528597  9.63    1175    245
 114     4.8       717  942.6 14.1  89.9  12.4  61  15.5 288.9 25.010013 121.528466  9.61    1190    245
 115     3.8       720  942.1 14.1  90.0  12.5  61  15.5 288.9 25.009967 121.528335  9.62    1204    245
 116     4.8       725  941.5 14.0  90.4  12.5  61  15.5 288.9 25.009933 121.528207  9.65    1217    245
 117     4.9       730  940.9 14.0  90.7  12.5  61  15.5 288.8 25.009901 121.528082  9.67    1230    245
 118     6.2       736  940.4 13.9  90.6  12.4  61  15.5 288.8 25.009861 121.527959  9.64    1243    245
 119     6.1       742  939.8 13.9  90.2  12.3  61  15.5 288.8 25.009813 121.527830  9.58    1257    245
 120     5.3       748  939.2 13.9  89.7  12.3  61  15.5 288.7 25.009757 121.527695  9.53    1272    245
 121     4.3       752  938.7 13.9  89.5  12.2  61  15.5 288.7 25.009696 121.527553  9.51    1288    245
 122     5.1       757  938.1 13.9  89.6  12.2  61  15.5 288.7 25.009631 121.527409  9.50    1304    245
 123     3.8       761  937.6 13.9  89.8  12.2  61  15.6 288.7 25.009566 121.527271  9.51    1320    245
 124     4.5       765  937.0 13.8  90.2  12.2  61  15.6 288.6 25.009501 121.527141  9.54    1335    245
 125     5.7       771  936.5 13.8  90.7  12.3  61  15.6 288.6 25.009437 121.527015  9.57    1350    245
 126     4.8       776  936.0 13.7  91.1  12.3  61  15.6 288.5 25.009375 121.526889  9.59    1364    245
 127     4.7       781  935.5 13.7  91.2  12.3  60  15.6 288.5 25.009313 121.526763  9.58    1378    245
 128     4.7       785  934.9 13.7  91.1  12.2  60  15.7 288.5 25.009252 121.526637  9.56    1393    245
 129     3.8       789  934.4 13.6  91.0  12.2  60  15.7 288.5 25.009192 121.526511  9.54    1407    245
 130     5.5       795  933.9 13.6  90.9  12.2  60  15.7 288.4 25.009131 121.526383  9.53    1422    245
 131     4.4       799  933.4 13.6  91.0  12.2  60  15.8 288.4 25.009071 121.526254  9.53    1436    245
 132     4.3       803  932.9 13.6  91.2  12.2  60  15.8 288.4 25.009010 121.526124  9.54    1451    245
 133     5.2       809  932.3 13.5  91.5  12.2  60  15.8 288.3 25.008949 121.525992  9.55    1466    245
 134     5.4       814  931.8 13.5  91.8  12.2  59  15.9 288.3 25.008888 121.525857  9.55    1481    245
 135     4.1       818  931.3 13.4  92.0  12.2  59  15.9 288.2 25.008825 121.525720  9.55    1497    245
 136     4.5       823  930.7 13.4  92.0  12.1  59  15.9 288.2 25.008761 121.525581  9.52    1512    245
 137     5.3       828  930.2 13.3  91.8  12.0  59  16.0 288.2 25.008696 121.525438  9.48    1528    245
 138     5.0       833  929.6 13.3  91.6  12.0  59  16.0 288.1 25.008629 121.525293  9.45    1545    245
 139     5.8       839  929.1 13.3  91.6  11.9  59  16.0 288.1 25.008560 121.525143  9.43    1562    245
 140     4.8       843  928.5 13.2  91.8  11.9  58  16.0 288.0 25.008490 121.524990  9.44    1579    245
 141     3.7       847  928.0 13.2  92.3  12.0  58  16.0 288.0 25.008417 121.524832  9.47    1597    245
 142     5.2       852  927.4 13.1  93.0  12.0  58  16.0 287.9 25.008342 121.524670  9.51    1615    245
 143     5.8       858  926.9 13.1  93.7  12.1  58  16.0 287.9 25.008264 121.524503  9.56    1634    245
 144     5.6       864  926.3 13.0  94.3  12.1  58  16.0 287.8 25.008183 121.524331  9.59    1654    245
 145     4.7       868  925.8 13.0  94.5  12.1  58  16.0 287.8 25.008099 121.524155  9.58    1674    245
 146     5.1       874  925.2 12.9  94.5  12.1  58  16.0 287.7 25.008012 121.523982  9.56    1694    245
 147     4.6       878  924.7 12.9  94.5  12.0  58  16.0 287.7 25.007915 121.523819  9.54    1713    244
 148     4.6       883  924.2 12.8  94.7  12.0  58  15.9 287.7 25.007813 121.523665  9.54    1732    244
 149     4.8       888  923.6 12.8  94.9  12.0  58  15.9 287.6 25.007710 121.523521  9.54    1750    244
 150     4.7       892  923.1 12.7  95.0  12.0  58  15.8 287.6 25.007609 121.523392  9.53    1767    244
 151     5.2       897  922.6 12.7  95.0  11.9  58  15.8 287.5 25.007523 121.523275  9.51    1782    244
 152     4.4       902  922.1 12.7  95.0  11.9  58  15.7 287.5 25.007453 121.523163  9.48    1795    244
 153     4.4       906  921.5 12.6  95.0  11.9  58  15.7 287.4 25.007379 121.523057  9.47    1808    244
 154     4.8       911  921.0 12.6  95.3  11.9  59  15.6 287.4 25.007304 121.522951  9.48    1822    244
 155     5.9       917  920.4 12.6  95.4  11.8  59  15.6 287.4 25.007239 121.522840  9.47    1835    244
 156     4.4       921  919.9 12.5  95.3  11.8  59  15.5 287.3 25.007176 121.522724  9.45    1849    244
 157     5.8       927  919.3 12.5  95.3  11.8  59  15.5 287.3 25.007112 121.522606  9.43    1862    244
 158     5.8       933  918.7 12.4  95.5  11.7  59  15.4 287.2 25.007047 121.522485  9.43    1877    244
 159     5.2       938  918.2 12.4  95.7  11.7  60  15.4 287.2 25.006982 121.522362  9.43    1891    244
 160     4.3       942  917.6 12.3  96.1  11.7  60  15.3 287.1 25.006916 121.522237  9.44    1905    243
 161     5.6       948  917.0 12.3  96.5  11.8  60  15.3 287.1 25.006851 121.522111  9.46    1920    243
 162     5.7       954  916.4 12.3  96.7  11.8  60  15.3 287.1 25.006786 121.521984  9.46    1935    243
 163     5.5       959  915.9 12.2  96.8  11.7  61  15.2 287.0 25.006722 121.521856  9.46    1949    243
 164     5.1       964  915.3 12.2  96.8  11.7  61  15.2 287.0 25.006660 121.521728  9.46    1964    243
 165     5.3       969  914.7 12.2  96.7  11.7  61  15.2 287.0 25.006600 121.521599  9.44    1979    243
 166     4.8       974  914.1 12.2  96.8  11.7  61  15.1 287.0 25.006543 121.521471  9.44    1993    243
 167     5.1       979  913.6 12.1  96.9  11.7  62  15.1 286.9 25.006488 121.521343  9.43    2007    243
 168     5.8       985  913.0 12.1  96.9  11.6  62  15.1 286.9 25.006436 121.521216  9.41    2021    243
 169     5.3       990  912.4 12.1  96.8  11.6  62  15.1 286.8 25.006388 121.521091  9.39    2035    243
 170     5.9       996  911.9 12.1  96.4  11.5  62  15.1 286.8 25.006343 121.520964  9.35    2049    244
 171     5.0      1001  911.3 12.1  95.7  11.4  63  15.1 286.8 25.006304 121.520836  9.30    2062    244
 172     4.9      1006  910.7 12.1  94.8  11.3  63  15.0 286.9 25.006269 121.520707  9.26    2076    244
 173     4.2      1011  910.2 12.2  94.2  11.3  63  15.0 286.9 25.006232 121.520567  9.22    2090    244
 174     6.0      1016  909.6 12.2  93.9  11.2  63  15.0 286.9 25.006183 121.520399  9.21    2108    244
 175     4.5      1021  909.1 12.2  93.8  11.2  63  15.0 286.9 25.006121 121.520216  9.20    2127    244
 176     4.4      1025  908.5 12.1  93.9  11.2  64  15.0 286.9 25.006049 121.520038  9.19    2147    244
 177     5.2      1031  908.0 12.1  94.2  11.2  64  15.0 286.9 25.005974 121.519889  9.21    2164    244
 178     5.7      1036  907.4 12.1  94.7  11.2  64  15.0 286.8 25.005902 121.519769  9.23    2179    244
 179     6.1      1042  906.8 12.0  95.2  11.3  64  15.0 286.8 25.005838 121.519663  9.25    2191    244
 180     5.8      1048  906.3 12.0  95.4  11.3  64  15.0 286.7 25.005778 121.519557  9.26    2204    244
 181     4.7      1053  905.7 11.9  95.6  11.2  64  15.0 286.7 25.005717 121.519437  9.25    2218    244
 182     5.0      1058  905.2 11.9  95.8  11.2  64  15.0 286.7 25.005649 121.519296  9.26    2234    244
 183     4.9      1063  904.7 11.9  95.9  11.3  64  15.1 286.6 25.005574 121.519144  9.27    2251    244
 184     3.8      1066  904.2 11.9  96.0  11.2  64  15.1 286.6 25.005498 121.518998  9.27    2268    244
 185     4.5      1071  903.7 11.8  96.1  11.2  65  15.1 286.6 25.005426 121.518865  9.27    2284    244
 186     3.9      1075  903.2 11.8  96.3  11.2  65  15.1 286.6 25.005362 121.518743  9.27    2298    244
 187     4.0      1079  902.7 11.8  96.5  11.2  65  15.1 286.5 25.005310 121.518627  9.27    2311    244
 188     5.2      1084  902.2 11.7  96.6  11.2  65  15.0 286.5 25.005264 121.518508  9.27    2324    244
 189     4.7      1089  901.7 11.7  96.6  11.2  65  15.0 286.4 25.005217 121.518378  9.25    2338    244
 190     5.2      1094  901.2 11.7  96.5  11.1  65  15.0 286.4 25.005161 121.518237  9.23    2354    244
 191     5.5      1099  900.6 11.6  96.5  11.1  65  15.0 286.4 25.005096 121.518085  9.22    2371    244
 192     5.5      1105  900.1 11.6  96.6  11.1  66  15.0 286.3 25.005026 121.517925  9.21    2388    244
 193     4.6      1109  899.6 11.6  96.6  11.0  66  15.0 286.3 25.004961 121.517765  9.20    2406    244
 194     5.2      1115  899.1 11.5  96.7  11.0  66  15.0 286.3 25.004905 121.517611  9.19    2423    244
 195     4.3      1119  898.5 11.5  96.9  11.0  66  15.0 286.2 25.004853 121.517463  9.19    2439    244
 196     5.1      1124  898.0 11.4  97.1  11.0  66  15.0 286.2 25.004804 121.517320  9.19    2454    244
 197     4.3      1128  897.5 11.4  97.3  11.0  67  15.0 286.1 25.004753 121.517177  9.19    2470    244
 198     3.9      1132  896.9 11.4  97.5  11.0  67  14.9 286.1 25.004701 121.517034  9.20    2485    244
 199     6.1      1138  896.4 11.3  97.8  11.0  67  14.9 286.1 25.004648 121.516890  9.21    2501    244
 200     6.8      1145  895.8 11.3  98.0  11.0  67  14.9 286.0 25.004594 121.516745  9.22    2517    244
 201     5.1      1150  895.3 11.3  98.1  11.0  68  14.9 286.0 25.004540 121.516600  9.20    2532    244
 202     4.7      1155  894.7 11.2  98.0  10.9  68  14.9 286.0 25.004486 121.516454  9.18    2548    244
 203     5.1      1160  894.1 11.2  98.1  10.9  68  14.9 285.9 25.004432 121.516308  9.17    2564    244
 204     4.7      1165  893.6 11.1  98.4  10.9  68  14.8 285.9 25.004378 121.516162  9.19    2580    244
 205     5.9      1171  893.0 11.1  98.8  10.9  69  14.8 285.8 25.004326 121.516016  9.21    2596    244
 206     6.4      1177  892.5 11.1  99.1  10.9  69  14.8 285.8 25.004274 121.515870  9.21    2612    244
 207     4.8      1182  891.9 11.0  99.1  10.9  69  14.8 285.8 25.004224 121.515723  9.19    2627    244
 208     4.7      1186  891.4 11.0  98.8  10.8  69  14.8 285.7 25.004175 121.515577  9.16    2643    244
 209     4.8      1191  890.8 11.0  98.5  10.8  70  14.8 285.7 25.004128 121.515431  9.13    2658    244
 210     4.0      1195  890.3 11.0  98.3  10.7  70  14.7 285.7 25.004083 121.515285  9.11    2674    244
 211     4.9      1200  889.7 11.0  98.3  10.7  70  14.7 285.7 25.004040 121.515140  9.11    2689    244
 212     6.0      1206  889.2 10.9  98.7  10.7  70  14.7 285.7 25.004000 121.514995  9.14    2704    244
 213     5.2      1211  888.6 10.9  99.3  10.8  71  14.7 285.6 25.003963 121.514851  9.17    2719    244
 214     6.2      1218  888.0 10.8  99.8  10.8  71  14.7 285.6 25.003929 121.514707  9.19    2734    244
 215     5.9      1223  887.4 10.8 100.0  10.8  71  14.7 285.5 25.003899 121.514565  9.17    2748    244
 216     4.8      1228  886.9 10.7 100.0  10.7  71  14.7 285.4 25.003872 121.514423  9.15    2762    245
 217     6.1      1234  886.3 10.7 100.0  10.7  71  14.7 285.4 25.003849 121.514282  9.13    2776    245
 218     5.8      1240  885.7 10.7 100.0  10.7  71  14.7 285.4 25.003830 121.514142  9.14    2790    245
 219     4.8      1245  885.1 10.7  99.7  10.6  71  14.6 285.4 25.003815 121.514003  9.12    2803    245
 220     5.1      1250  884.6 10.7  99.3  10.6  72  14.6 285.4 25.003802 121.513865  9.10    2817    245
 221     5.6      1256  884.0 10.7  99.3  10.6  72  14.6 285.4 25.003788 121.513728  9.10    2830    245
 222     5.0      1261  883.5 10.7  99.4  10.6  72  14.6 285.4 25.003770 121.513590  9.10    2843    245
 223     4.5      1265  882.9 10.6  99.4  10.6  72  14.6 285.4 25.003744 121.513452  9.09    2857    245
 224     6.0      1271  882.4 10.6  99.3  10.5  72  14.6 285.3 25.003709 121.513315  9.08    2871    245
 225     4.6      1276  881.8 10.6  99.3  10.5  72  14.6 285.3 25.003664 121.513181  9.06    2886    245
 226     5.1      1281  881.3 10.6  99.4  10.5  72  14.6 285.3 25.003613 121.513056  9.07    2900    245
 227     5.1      1286  880.7 10.5  99.8  10.5  72  14.6 285.3 25.003557 121.512937  9.09    2913    245
 228     6.8      1293  880.1 10.5 100.0  10.5  72  14.6 285.2 25.003497 121.512820  9.10    2927    245
 229     4.7      1297  879.5 10.5 100.0  10.5  72  14.6 285.2 25.003450 121.512694  9.08    2940    245
 230     5.2      1303  878.9 10.4 100.0  10.4  72  14.6 285.2 25.003420 121.512556  9.07    2954    245
 231     8.0      1311  878.2 10.4 100.0  10.4  72  14.5 285.1 25.003401 121.512411  9.05    2969    245
 232     7.5      1318  877.6 10.4 100.0  10.4  72  14.5 285.1 25.003383 121.512270  9.03    2982    245
 233     4.2      1322  877.0 10.3 100.0  10.3  71  14.5 285.0 25.003360 121.512144  9.03    2995    245
 234     5.7      1328  876.4 10.3  99.9  10.3  71  14.5 285.0 25.003332 121.512030  9.01    3007    245
 235     6.2      1334  875.8 10.3  99.9  10.3  71  14.5 285.0 25.003297 121.511911  9.00    3019    246
 236     4.8      1339  875.3 10.3 100.0  10.3  71  14.4 285.0 25.003255 121.511757  9.00    3035    246
 237     4.3      1343  874.7 10.2 100.0  10.2  71  14.4 284.9 25.003208 121.511576  8.99    3054    246
 238     6.1      1349  874.2 10.2 100.0  10.2  71  14.4 284.9 25.003158 121.511392  8.97    3073    246
 239     4.9      1354  873.7 10.2 100.0  10.2  71  14.3 284.9 25.003107 121.511226  8.96    3091    246
 240     4.2      1358  873.3 10.1 100.0  10.1  71  14.3 284.8 25.003050 121.511075  8.95    3108    246
 241     3.6      1362  872.8 10.1  99.9  10.1  71  14.2 284.8 25.002991 121.510928  8.92    3124    246
 242     3.8      1366  872.4 10.1 100.0  10.1  71  14.2 284.8 25.002932 121.510796  8.92    3139    246
 243     3.5      1369  872.0 10.1 100.0  10.1  71  14.1 284.7 25.002874 121.510674  8.91    3152    246
 244     4.3      1374  871.6 10.0 100.0  10.0  71  14.0 284.7 25.002817 121.510551  8.90    3166    246
 245     3.7      1377  871.2 10.0 100.0  10.0  71  13.9 284.7 25.002760 121.510417  8.89    3181    246
 246     4.3      1382  870.7 10.0 100.0  10.0  71  13.9 284.7 25.002708 121.510273  8.88    3197    246
 247     3.6      1385  870.3 10.0 100.0  10.0  72  13.8 284.7 25.002662 121.510126  8.88    3213    246
 248     4.5      1390  869.9 10.0 100.0  10.0  72  13.7 284.7 25.002622 121.509982  8.88    3228    246
 249     4.0      1394  869.5 10.0 100.0  10.0  72  13.7 284.7 25.002589 121.509840  8.89    3242    246
 250     3.9      1398  869.0 10.0 100.0  10.0  72  13.6 284.6 25.002560 121.509702  8.88    3256    246
